Price,High,Low,Open,Volume
1869.5999755859375,1870.5,1869.5,1869.9000244140625,20657
1870.0,1872.0,1869.9000244140625,1869.9000244140625,186087
1868.5999755859375,1870.5999755859375,1868.5999755859375,1870.0,224674
1870.4000244140625,1870.5,1868.5999755859375,1868.5999755859375,23809
1869.699951171875,1870.5,1869.5,1870.4000244140625,65355
1869.5999755859375,1870.0,1869.4000244140625,1869.699951171875,20155
1869.800048828125,1870.0,1869.5,1869.5,21838
1869.699951171875,1870.0,1869.5,1869.800048828125,14775
1869.699951171875,1870.0,1869.699951171875,1869.800048828125,15469
1869.5999755859375,1870.0,1869.5,1870.0,19611
1869.5,1870.0,1869.5,1869.699951171875,20425
1869.4000244140625,1870.0,1869.4000244140625,1869.5,33557
1869.199951171875,1869.9000244140625,1869.0999755859375,1869.9000244140625,56709
1869.0999755859375,1869.199951171875,1869.0999755859375,1869.0999755859375,26775
1869.199951171875,1869.4000244140625,1869.0999755859375,1869.199951171875,14039
1869.0,1869.699951171875,1869.0,1869.300048828125,202625
1867.9000244140625,1869.0,1867.800048828125,1869.0,108261
1868.5999755859375,1868.9000244140625,1867.800048828125,1867.800048828125,17014
1868.800048828125,1869.0999755859375,1868.0,1868.5,120708
1867.9000244140625,1869.199951171875,1867.9000244140625,1868.5999755859375,19388
1868.0999755859375,1868.5999755859375,1868.0,1868.0999755859375,17055
1867.5999755859375,1868.5999755859375,1867.300048828125,1868.0999755859375,60342
1867.5999755859375,1867.9000244140625,1867.5,1867.5999755859375,14352
1867.5999755859375,1868.5999755859375,1867.5,1867.5999755859375,18613
1868.199951171875,1868.9000244140625,1867.5999755859375,1867.5999755859375,20998
1868.4000244140625,1868.800048828125,1868.0,1868.699951171875,17638
1868.199951171875,1868.9000244140625,1868.0999755859375,1868.9000244140625,27542
1868.0999755859375,1868.699951171875,1868.0,1868.0999755859375,46310
1868.5999755859375,1868.699951171875,1867.9000244140625,1868.4000244140625,23018
1868.5,1868.699951171875,1868.0,1868.699951171875,21357
1868.5,1868.5,1868.0,1868.4000244140625,16643
1868.0,1868.800048828125,1867.9000244140625,1868.5,32715
1868.5,1869.0,1868.0999755859375,1868.0999755859375,18184
1868.9000244140625,1869.0,1868.4000244140625,1868.800048828125,29270
1868.199951171875,1868.9000244140625,1868.199951171875,1868.9000244140625,19556
1868.199951171875,1868.699951171875,1868.0999755859375,1868.0999755859375,23883
1868.300048828125,1869.0,1868.199951171875,1868.5999755859375,25624
1869.0,1869.0,1868.199951171875,1868.5999755859375,23150
1868.800048828125,1869.0,1868.5,1869.0,14604
